question,document,score,reasoning
"I just found this course — can I still sign up now, or is it too late?",74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: the course can still be joined, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Am I allowed to join the course after it already started?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: late joining is allowed, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
"If I enroll late, do I still get access to everything?",74eb249bbf,good,"The AI answer captures the core idea that late enrollment still allows access and that certificate eligibility depends on submitting while submissions are still being accepted. It adds some extra detail about homework access and deadlines, but the main point matches the ground truth closely enough."
Can I still get a certificate if I join the course now?,74eb249bbf,good,The AI answer preserves the key point from the ground truth: a certificate is possible if the project is submitted while submissions are still open. The added statement about self-paced mode vs. live cohort is extra detail and does not conflict with the core answer.
What do I need to do to make sure I’m eligible for the certificate if I start late?,74eb249bbf,bad,"The ground truth says late starters can still get a certificate if they submit their project while submissions are still being accepted. The AI answer adds several extra requirements (live cohort, passing capstone, peer review) that are not in the ground truth and may be incorrect. It also shifts the condition from simply submitting while accepted to a more specific and different set of criteria. This is not semantically equivalent."
"Do I actually need a confirmation email after signing up, or am I already accepted?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is already accepted, they can start learning and submitting homework while the form is open, and registration is only to gauge interest. It preserves the key point that there is no checked registered list, though that detail is omitted; the core meaning is unchanged."
Can I start the LLM Zoomcamp and turn in homework even if I never registered?,977bf7786c,good,"The AI answer matches the ground truth: it says registration is not required, homework can be submitted while the form is open, there is no registered-list check, and registration is mainly to gauge interest. This preserves the key meaning accurately."
Is there some approved student list that homework gets checked against?,977bf7786c,bad,The ground truth clearly says there is no approved student list and homework is not checked against any registered list; registration is only for gauging interest. The AI answer fails to provide this information and is therefore not semantically equivalent.
Why do you ask people to register if it doesn't affect access to the course?,977bf7786c,good,"The AI answer preserves the core meaning: registration is not required for access, and its purpose is only to gauge interest before the start date. It omits the extra detail that accepted students can start learning and submitting homework without registering, but that omission does not change the answer to the question."
What should I do if I signed up but never got any email back?,977bf7786c,bad,"The AI answer does not convey the ground truth at all. The correct response is that no email is needed, the user is accepted, and they can start learning/submitting homework while the form is open. Saying 'I don't know' misses the key point and is incorrect."
Where do students actually watch the Office Hours or live workshop sessions if the Zoom link isn’t shared publicly?,489dd1c9d9,good,"The AI answer matches the ground truth: it says students watch via YouTube Live, the Zoom link is only for instructors/presenters/TAs, the live URL is posted in Telegram/Slack announcements and on the DataTalksClub YouTube channel, and questions should go to Slido rather than chat. This is semantically equivalent and complete."
"How are we supposed to ask questions during the live sessions, and why shouldn’t we just put them in the chat?",489dd1c9d9,good,"The AI answer correctly says questions should be asked via Slido and explains that chat questions may be missed in active sessions. It captures the key point of the ground truth, though it omits some extra context about YouTube Live and link locations. That omission does not change the core answer."
Will the stream/video link for an Office Hours session be announced somewhere before it starts?,489dd1c9d9,good,"The AI answer captures the key point that the video URL is announced in the Telegram and Slack announcements channels before the session starts, and that it can also be watched on the DataTalksClub YouTube channel. It omits the zoom-link restriction and Slido/chat guidance, but those are extra details not necessary to answer the question."
"Who can see the Zoom link for the live sessions, and is it meant for students too?",489dd1c9d9,good,"The AI answer matches the key point: the Zoom link is only for instructors/presenters/TAs and not for students. It also correctly states that students participate via YouTube Live and Slido. Minor details like Telegram/Slack and pinned chat are omitted, but the core answer is preserved."
"Can I follow the office hours on YouTube instead of Zoom, and where do I find the live stream?",489dd1c9d9,good,"The AI answer matches the ground truth: it says students can follow office hours on YouTube Live, the Zoom link is only for instructors/presenters/TAs, the live stream URL is posted in the announcements channel on Telegram and Slack before it begins, and it can also be watched on the DataTalksClub YouTube channel. It also correctly mentions Slido for questions. No key information is missing or wrong."
"Where should I begin if I want to follow this course properly, and which docs or repo should I open first?",04919992b3,good,"The AI answer includes the same key starting resources: the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository. It also correctly notes that the GitHub repo is a good place to begin. The extra claim that the repo should be opened first and is more reliable than the YouTube playlist is not in the ground truth, but it does not contradict the original answer or change the core guidance. The original answer also mentions you can start whenever you want and describes the typical workflow, which the AI answer omits, but the question specifically asks where to begin and which docs/repo to open first, so that omission is acceptable."
"Can I join the course anytime, or are there fixed start dates and deadlines I need to watch out for?",04919992b3,good,"The AI answer captures the main point that the course can be started anytime and that materials are available anytime. It also correctly mentions deadlines for homework/project submissions. However, it adds a certificate-specific condition that is not stated in the ground truth, but this is extra detail rather than a contradiction. The core answer is semantically equivalent."
What’s the usual weekly routine for this course after I watch the lectures?,04919992b3,good,"The AI answer preserves the key workflow: watch videos, do notebooks/code, read homework instructions, and submit before the deadline. It also correctly notes that homework is similar but may use a different dataset or slightly different task. It omits the extra introductory links and the note that you can start whenever you want, but those are not essential to the question asked about the usual weekly routine after watching lectures."
"Do I need to do the notebooks and homework in a specific order, and where are the homework instructions posted?",04919992b3,good,"The AI answer matches the key points: it says the work can be done in the normal lesson order, lists the typical workflow, notes that homework instructions are on GitHub, and that the course platform is for submission/deadlines. This is semantically equivalent to the ground truth, with only extra cohort-specific links added."
"How is the homework different from the lesson work, and how do I submit it before the deadline?",04919992b3,good,"The AI answer correctly states that homework is similar to lesson work but uses a different dataset or slightly different task, which matches the ground truth. It also captures that homework is submitted through the course management platform before the deadline. However, it omits the broader context from the original answer about starting with the docs/GitHub and the typical workflow. These omissions do not change the core answer to the user’s question."
I just made my account but can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0,good,"The AI answer correctly states that a random display name is assigned and that the user should click the “Jump to your record on the leaderboard” link to locate their entry. It also correctly mentions “Edit Course Profile” for checking/changing the display name. This matches the ground truth well, with only minor extra explanation."
"What name shows up on the leaderboard by default, and can I check what mine is?",c2903069a0,good,"The AI answer matches the ground truth: it states that a random name like 'Lucid Elbakyan' appears by default, and that you can check your display name via 'Edit Course Profile.' It also correctly mentions the leaderboard link as an additional way to find your record. No key information is missing or incorrect."
