question,answer_llm,answer_orig,document
"I just found this course — can I still sign up now, or is it too late?","Yes, you can still join. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Am I allowed to join the course after it already started?,"Yes, you can still join after the course has started. If you want to receive a certificate, though, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I enroll late, do I still get access to everything?","Yes — if the submission form is still open, you can still submit even if you enroll late or the listed deadline has passed. You’ll have access to the course materials, and homework access depends on whether the form is still open. If the form is closed, then submissions are no longer possible.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still get a certificate if I join the course now?,"Yes, but only if you submit your project while the course is still accepting submissions. You can’t get a certificate in self-paced mode; it’s only available for the live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to make sure I’m eligible for the certificate if I start late?,"To be eligible for the certificate, you need to:

- **Finish the course with the live cohort** — self-paced mode does not qualify.
- **Submit and pass the Capstone project**.
- **Participate in peer review of 3 peers’ capstone projects** in your cohort.

If you start late, the context says you can still catch up for the **attempt #2 submission window** if you miss attempt #1, as long as you still complete the peer-review requirement.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need a confirmation email after signing up, or am I already accepted?","You don’t need a confirmation email after signing up. You’re already accepted, and you can start learning and submitting homework while the form is open. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start the LLM Zoomcamp and turn in homework even if I never registered?,"Yes. You can start learning and submit homework even if you never registered. Registration is not checked against a registered list, and it’s mainly to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there some approved student list that homework gets checked against?,I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Why do you ask people to register if it doesn't affect access to the course?,You don’t need to register to access the course. Registration is only used to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What should I do if I signed up but never got any email back?,I don't know.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
