question,document
"I just found this course — can I still sign up now, or is it too late?",74eb249bbf
Am I allowed to join the course after it already started?,74eb249bbf
"If I enroll late, do I still get access to everything?",74eb249bbf
Can I still get a certificate if I join the course now?,74eb249bbf
What do I need to do to make sure I’m eligible for the certificate if I start late?,74eb249bbf
"Do I actually need a confirmation email after signing up, or am I already accepted?",977bf7786c
Can I start the LLM Zoomcamp and turn in homework even if I never registered?,977bf7786c
Is there some approved student list that homework gets checked against?,977bf7786c
Why do you ask people to register if it doesn't affect access to the course?,977bf7786c
What should I do if I signed up but never got any email back?,977bf7786c
Where do students actually watch the Office Hours or live workshop sessions if the Zoom link isn’t shared publicly?,489dd1c9d9
"How are we supposed to ask questions during the live sessions, and why shouldn’t we just put them in the chat?",489dd1c9d9
Will the stream/video link for an Office Hours session be announced somewhere before it starts?,489dd1c9d9
"Who can see the Zoom link for the live sessions, and is it meant for students too?",489dd1c9d9
"Can I follow the office hours on YouTube instead of Zoom, and where do I find the live stream?",489dd1c9d9
"Where should I begin if I want to follow this course properly, and which docs or repo should I open first?",04919992b3
"Can I join the course anytime, or are there fixed start dates and deadlines I need to watch out for?",04919992b3
What’s the usual weekly routine for this course after I watch the lectures?,04919992b3
"Do I need to do the notebooks and homework in a specific order, and where are the homework instructions posted?",04919992b3
"How is the homework different from the lesson work, and how do I submit it before the deadline?",04919992b3
I just made my account but can’t find myself on the leaderboard — how do I locate my entry?,c2903069a0
"What name shows up on the leaderboard by default, and can I check what mine is?",c2903069a0
"Is the name I use in my profile the one that appears publicly, or can I change it to my Slack/GitHub nickname?",c2903069a0
"How do I make sure my certificate won’t have the random name on it, and what name should I put instead?",c2903069a0
Where in the course profile do I edit my display name versus my legal name for the certificate?,c2903069a0
Can I take this course at my own pace and still get a certificate at the end?,69d122f12e
Is there any way to earn a certificate if I don’t join a live cohort?,69d122f12e
Why aren’t certificates given for the self-paced version of the course?,69d122f12e
Do I need to be in the running cohort to do the peer reviews needed for certification?,69d122f12e
"If I finish the materials later on my own, can I still get the certificate somehow?",69d122f12e
Can I still get the course certificate if I skipped the first homework?,9f689c185f
"Is homework required to receive the certificate, or is the Capstone enough?",9f689c185f
"If homework isn’t mandatory, what do the homework points affect?",9f689c185f
"Do I need to complete all assignments to earn the certificate, or just pass the Capstone project?",9f689c185f
What matters most for getting certified in this course: homework or the Capstone?,9f689c185f
Why does the homework keep changing before it’s due?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework assignment is actually ready?,96286b4be4
Is it safe to start working on homework if it still says draft?,96286b4be4
Can the homework content still change after it’s posted on the platform?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do we know the date for the next course offering?,bd31146b0e
Is there a planned start for the course again?,bd31146b0e
When should I expect this course to be available next?,bd31146b0e
What’s the next session of the course scheduled for?,bd31146b0e
Where can I find the course lectures or videos?,31456f4b5f
Is there a main place to start for the LLM Zoomcamp materials?,31456f4b5f
"Do I need to use the YouTube playlist, or is there a better source for the lessons?",31456f4b5f
How do I get to the videos for each lesson in this course?,31456f4b5f
What should I check first if I want the latest links to the lecture videos?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and keep up with the homework deadlines?,20c5a1347e
Is there a central place for tracking my progress in the LLM Zoomcamp?,20c5a1347e
What platform should I use to follow the current cohort structure for the course?,20c5a1347e
"How do I find the course materials, deadlines, and assignments for LLM Zoomcamp in one place?",20c5a1347e
Does LLM Zoomcamp use a course management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Does every module in LLM Zoomcamp have its own live session or office hour, or are the lessons just pre-recorded?",d65e05bd7a
"If I get stuck on a module, where should I ask for help during the course?",d65e05bd7a
How do I find out when any live sessions for the course are happening?,d65e05bd7a
Is there any extra paid support with regular Zoom office hours for LLM Zoomcamp?,d65e05bd7a
"Are the main course materials free, and do I need to join AI Shipping Labs to follow the course?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits for this course?,dbf5369006
"Do Bluesky updates qualify for the learning in public requirement, or is it only for other platforms?",dbf5369006
"If I share course progress on Bluesky, will that be accepted as learning in public credit?",dbf5369006
Are Bluesky posts allowed when I want to earn learning in public credits?,dbf5369006
Is posting about the course on Bluesky enough to get learning in public credits?,dbf5369006
What's the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram link?,054f3fd58f
Where do I find the course Telegram channel for announcements?,054f3fd58f
"Is there a Telegram group for LLM Zoomcamp, and what's the URL?",054f3fd58f
Should I use Telegram or Slack for LLM Zoomcamp announcements and technical questions?,054f3fd58f
Why do I get a different number of FAQ records than what’s shown in the lectures?,e2d595f23c
"Is the FAQ dataset in the course static, or can it change over time?",e2d595f23c
Why don’t my results match the record count in the video when I load the FAQ data?,e2d595f23c
Did the course videos use a different FAQ dataset version than the one I have now?,e2d595f23c
"Could the FAQ data have changed since the videos were recorded, making the counts different?",e2d595f23c
Can I still turn in the homework if the deadline already passed but the submission form is still open?,a9353fadfe
Is it okay to submit my answers after the listed deadline when the form hasn’t been closed yet?,a9353fadfe
"Does the deadline matter if the homework form is still open, or can I submit anyway?",a9353fadfe
When do homework submissions actually stop being accepted — at the deadline or only after the form closes?,a9353fadfe
"If I missed the deadline but the form is still open, should I go ahead and submit my work?",a9353fadfe
Can I turn in homework after the deadline if the submission form is still open?,cdc3b285e5
Do you give any individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it affect my certificate?,cdc3b285e5
Are late homework submissions accepted once the form is closed?,cdc3b285e5
"If I skip a homework, will I still be able to stay on the leaderboard?",cdc3b285e5
Is the name I enter for the certificate ever visible on the public leaderboard or shared with anyone outside the course?,651ba06b34
What name shows up publicly in the course rankings if I put my real name in the certificate field?,651ba06b34
"Can I use one name for the leaderboard and a different one for the certificate, and where do I change that?",651ba06b34
"Does the certificate name get published online anywhere, or is it only printed on the certificate file itself?",651ba06b34
How does the course profile handle the public nickname versus the official certificate name?,651ba06b34
Why don't we use LangChain in this course instead of building everything ourselves?,b7cdde6b25
"What's the reason for learning prompting, retrieval, indexing, and evaluation before using a framework?",b7cdde6b25
"Is LangChain a replacement for the core RAG pieces, or just a tool on top of them?",b7cdde6b25
Why is it better to understand the basics before jumping into LangChain or similar frameworks?,b7cdde6b25
"What do you mean by learning the foundations first, like HTML/CSS/JS before React or Angular?",b7cdde6b25
Why do I get an OpenAI API Error: Insufficient credits when I run responses.create?,f5df151c59
What does it mean if responses.create fails with an insufficient credits error in OpenAI?,f5df151c59
How can I fix the OpenAI error that shows up when using the responses.create command?,f5df151c59
Is there a reason OpenAI responses.create would stop working because of account credits?,f5df151c59
I’m getting an insufficient credits message from OpenAI responses.create — what should I check?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI when I call the API, and how do I fix it?",152af39a53
"Does this 429 error mean my code is wrong, or is it an account quota/billing problem?",152af39a53
"I added an OpenAI API key, but I still see ""insufficient_quota"" — what should I check next?",152af39a53
"Which OpenAI model should I use if `gpt-4o` gives me an error, and how do I know what models my account supports?",152af39a53
"After topping up my OpenAI account, do I need to generate a new API key before running the request again?",152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to add a lot of money to my OpenAI account before starting?,554d0eb78b
What is the minimum amount I can recharge on OpenAI for the course?,554d0eb78b
"Will using the OpenAI API in Module 1 get expensive, or is it cheap?",554d0eb78b
Is a $5 recharge enough to cover the course API usage?,554d0eb78b
Do I need to subscribe or pay for the OpenAI API to finish the course homework?,85384a18e5
"Is the OpenAI API mandatory for this course, or can I use a free option instead?",85384a18e5
Are there any low-cost or free alternatives to OpenAI API for the assignments?,85384a18e5
Where can I find the list of OpenAI API alternatives for this course?,85384a18e5
Can I complete the course without paying for OpenAI services?,85384a18e5
Why does the course recommend uv over pip and virtualenv for the setup?,f81dea8f7e
"Is uv just a faster replacement for pip, or does it also handle virtual environments and Python versions?",f81dea8f7e
"Do I have to use uv in the course, or can I stick with pip and virtualenv instead?",f81dea8f7e
"What problem does uv solve compared with using several separate Python tools like pip, poetry, and pyenv?",f81dea8f7e
Why are the lessons built around uv if the older tools still work fine?,f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I set it in .env?,86d99bbf21
Do I need python-dotenv for the OpenAI key to show up in Jupyter?,86d99bbf21
How do I load my .env file before creating the OpenAI client in a notebook?,86d99bbf21
What should I check if the API key still isn’t found after using load_dotenv()?,86d99bbf21
Could the problem be that my env variable name is wrong for the OpenAI key?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python?,233dabe430
"What’s the easiest way to use OPENAI_API_KEY, GROQ_API_KEY, or GEMINI_API_KEY without hardcoding them?",233dabe430
Do I need to add .env to .gitignore when storing secret keys for my project?,233dabe430
Which package should I install to read environment variables from a .env file?,233dabe430
How can I get API keys from .env with os.getenv in a Python script?,233dabe430
"Can I do the homework with a different LLM provider than the one suggested, or do I have to stick to the recommended model?",ee43413718
"Is it okay to use OpenAI alternatives like Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model for this assignment?",ee43413718
"Do I need a paid API service to finish the homework, or can I complete it without paying for a model?",ee43413718
"If I switch to another provider, what parts of the code usually need to be changed because of different response formats or tokenizers?",ee43413718
Where can I find a list of model/provider options for this RAG homework besides the default recommendation?,ee43413718
How can I set up Gemini in the Module 1 RAG notebook using the OpenAI-style endpoint?,0ae5c221b9
What do I need in my .env file if I want to use Google Gemini with the course notebook?,0ae5c221b9
How do I create the client for Gemini when the notebook expects an OpenAI-compatible API?,0ae5c221b9
Which Gemini model name should I pass in the chat completion call in the Module 1 example?,0ae5c221b9
"If I use the old chat.completions approach with Gemini, what parts of the notebook usually need to be changed?",0ae5c221b9
"How do I get Ollama installed on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to try the model locally?",1d0b969028
How can I check if the Ollama server is actually up on my machine?,1d0b969028
What package do I need for using Ollama from Python?,1d0b969028
